"","experiment","value","method","replicate","Beta_SSE","test_R2","test_SSE","test_SST"
"83","r",10,"MultiLORS",39,370.492300936194,0.713312396818163,3160420.34245615,11023917.0001767
"84","r",10,"MultiLORS",4,371.653185781726,0.713554819631345,3158041.73494143,11024942.8210907
"85","r",10,"MultiLORS",40,364.376295556609,0.710922442757296,3151798.0684156,10902949.7083006
"86","r",10,"MultiLORS",41,367.849028017199,0.71099353066966,3160654.8334751,10936277.1041032
"87","r",10,"MultiLORS",42,393.396524933787,0.709683091141305,3164674.33499598,10900757.8905309
"88","r",10,"MultiLORS",43,339.92642868242,0.712612771346232,3111168.87329127,10825703.3127922
"89","r",10,"MultiLORS",44,400.84042657728,0.710805181492576,3192853.32633489,11040492.8511986
"90","r",10,"MultiLORS",45,393.520938386463,0.7119533378378,3181448.12000702,11044905.3501461
"91","r",10,"MultiLORS",46,384.26782505945,0.709859431684957,3188664.91069327,10990069.155827
"92","r",10,"MultiLORS",47,373.096534464259,0.713335703190139,3163255.61170963,11034703.8222474
"93","r",10,"MultiLORS",48,434.38179451839,0.706141540253088,3209819.8897057,10923013.3870238
"94","r",10,"MultiLORS",49,367.414907475641,0.712435908566514,3149847.83965273,10953550.646574
"95","r",10,"MultiLORS",5,397.564801603435,0.708452532168141,3213042.00695515,11020647.9612033
"96","r",10,"MultiLORS",50,379.429255422936,0.709634855803302,3193424.23420941,10997959.9756854
"97","r",10,"MultiLORS",6,388.681852672135,0.710583074273046,3179200.89897247,10984847.8660569
"98","r",10,"MultiLORS",7,384.030802538525,0.710786687243357,3162525.09876958,10934922.2849595
"99","r",10,"MultiLORS",8,367.162502668132,0.711755553960071,3169595.98054403,10996208.3366733
"100","r",10,"MultiLORS",9,395.210950965181,0.711650612271277,3196858.7208585,11086753.9759304
"101","r",10,"ORC_ALL_glmnet",1,299.743329249753,0.723359461914856,3033167.83249919,10964292.7008971
"102","r",10,"ORC_ALL_glmnet",10,287.718402778174,0.723280947173214,3017879.92293885,10905934.709266
"103","r",10,"ORC_ALL_glmnet",11,293.100648526259,0.722858532279517,3042767.55893979,10979113.2448236
"104","r",10,"ORC_ALL_glmnet",12,292.658361376552,0.724132399105306,3053663.71753795,11069309.0005289
"105","r",10,"ORC_ALL_glmnet",13,290.290764464784,0.725572519454945,3020112.49368439,11005138.7262165
"106","r",10,"ORC_ALL_glmnet",14,281.488896758881,0.724804833192054,3035600.17337377,11030717.6124654
"107","r",10,"ORC_ALL_glmnet",15,299.758279834253,0.722980519234111,3062973.56392407,11056888.6904838
"108","r",10,"ORC_ALL_glmnet",16,280.228268981366,0.724197172380629,3028555.75763368,10980872.7625277
"109","r",10,"ORC_ALL_glmnet",17,282.297309006942,0.723882034205535,3054447.95517793,11062112.334449
"110","r",10,"ORC_ALL_glmnet",18,293.625542647509,0.72313020059948,3047289.44935365,11006218.2872659
"111","r",10,"ORC_ALL_glmnet",19,276.701953729524,0.722127741444416,3063145.14186671,11023573.0539973
"112","r",10,"ORC_ALL_glmnet",2,293.55548209153,0.723421902901308,3035339.72118984,10974620.7419553
"113","r",10,"ORC_ALL_glmnet",20,288.610882888797,0.722395566780415,3048099.65550637,10980010.7302153
"114","r",10,"ORC_ALL_glmnet",21,293.997644837497,0.722060548973307,3069989.6170619,11045533.8589809
"115","r",10,"ORC_ALL_glmnet",22,313.566025961443,0.72338424985394,3030980.69926941,10957368.4711336
"116","r",10,"ORC_ALL_glmnet",23,285.042273283693,0.725258303706177,3059747.8781682,11136816.5787837
"117","r",10,"ORC_ALL_glmnet",24,292.709186364284,0.723137460585033,3026932.49823021,10932979.6101212
"118","r",10,"ORC_ALL_glmnet",25,283.146889124403,0.723393143543326,3007760.51972717,10873774.2739153
"119","r",10,"ORC_ALL_glmnet",26,267.109498824762,0.724489955213636,3021132.3095219,10965597.6857923
"120","r",10,"ORC_ALL_glmnet",27,306.226822774254,0.722486559162243,3047721.23829429,10982247.3069911
"121","r",10,"ORC_ALL_glmnet",28,287.612379626587,0.723688549180037,3070184.55561469,11111318.5736741
"122","r",10,"ORC_ALL_glmnet",29,286.617139112991,0.724422519218644,3061507.19200506,11109424.4106036
"123","r",10,"ORC_ALL_glmnet",3,279.44204992276,0.722323038418259,3047388.98330515,10974583.4366172
"124","r",10,"ORC_ALL_glmnet",30,297.303221068113,0.723316347978228,3037755.07472403,10979163.5773443
"125","r",10,"ORC_ALL_glmnet",31,286.197617684774,0.72314273636952,3057758.01646329,11044528.781244
"126","r",10,"ORC_ALL_glmnet",32,288.353019744781,0.723857083900618,3048928.90709232,11041126.6389141
"127","r",10,"ORC_ALL_glmnet",33,292.714447947572,0.7243902984935,3063279.37143791,11114555.6730908
"128","r",10,"ORC_ALL_glmnet",34,296.674946114708,0.725009002975451,3049246.67736138,11088532.7532711
"129","r",10,"ORC_ALL_glmnet",35,272.582318420834,0.723754515735565,3051393.0686085,11045947.327369
"130","r",10,"ORC_ALL_glmnet",36,287.747203375361,0.723950039517327,3002337.14046123,10876064.3733172
"131","r",10,"ORC_ALL_glmnet",37,281.855970150939,0.725367978556537,3012095.41739771,10967750.233808
"132","r",10,"ORC_ALL_glmnet",38,280.801705032793,0.725041786819315,3021611.25674013,10989347.151287
"133","r",10,"ORC_ALL_glmnet",39,279.236375282138,0.725604528652185,3021406.42939787,11011138.1013575
"134","r",10,"ORC_ALL_glmnet",4,285.699081375978,0.724705355263473,3030605.59313285,11008588.983027
"135","r",10,"ORC_ALL_glmnet",40,268.652710456066,0.723622534073258,3010236.1796431,10891756.9294199
"136","r",10,"ORC_ALL_glmnet",41,281.352523659929,0.723359533311476,3018109.2556952,10909861.7849476
"137","r",10,"ORC_ALL_glmnet",42,279.374450269582,0.725077886612205,2993486.21083622,10888488.28473
"138","r",10,"ORC_ALL_glmnet",43,280.492328408053,0.722482509154123,3000787.18800792,10812965.9822935
"139","r",10,"ORC_ALL_glmnet",44,285.385983231606,0.724496043246366,3036265.23868262,11020768.1750203
"140","r",10,"ORC_ALL_glmnet",45,281.603682869552,0.725211839256719,3029719.36902681,11025654.6746106
"141","r",10,"ORC_ALL_glmnet",46,274.341046406896,0.724180398309203,3027993.20344891,10978165.3837764
"142","r",10,"ORC_ALL_glmnet",47,279.186444209637,0.725993661374819,3013579.83606844,10998212.1260004
"143","r",10,"ORC_ALL_glmnet",48,291.219949872703,0.723767994411066,3014341.10821075,10912352.8310345
"144","r",10,"ORC_ALL_glmnet",49,286.944688178268,0.723053417826392,3029525.12448441,10939023.3333348
"145","r",10,"ORC_ALL_glmnet",5,300.484149976432,0.72162021235295,3063203.3283803,11003684.4063695
"146","r",10,"ORC_ALL_glmnet",50,299.436094006456,0.721872001985044,3054699.19684166,10983069.7327976
"147","r",10,"ORC_ALL_glmnet",6,282.71301619593,0.723135638653336,3037533.0455702,10971195.5370337
"148","r",10,"ORC_ALL_glmnet",7,290.80350514783,0.724371088398049,3010952.20483564,10923934.6022739
"149","r",10,"ORC_ALL_glmnet",8,290.713985601738,0.723004840890153,3041383.5289789,10979915.8178529
"150","r",10,"ORC_ALL_glmnet",9,302.525583056661,0.723036005961115,3066320.16023801,11071186.9637737
"151","r",10,"ORC_ALL_MultiLORS",1,56.6372089468957,0.74479858911917,2798102.96657932,10964292.7008971
"152","r",10,"ORC_ALL_MultiLORS",10,57.0157864258597,0.744465612342022,2786841.34777017,10905934.709266
"153","r",10,"ORC_ALL_MultiLORS",11,59.8910697250972,0.74425449929316,2807858.8141145,10979113.2448236
"154","r",10,"ORC_ALL_MultiLORS",12,57.551092065178,0.745506577300326,2817066.33446491,11069309.0005289
"155","r",10,"ORC_ALL_MultiLORS",13,57.3679962474905,0.746197169736594,2793135.35615515,11005138.7262165
"156","r",10,"ORC_ALL_MultiLORS",14,57.4663129128938,0.745544773187357,2806823.7519861,11030717.6124654
"157","r",10,"ORC_ALL_MultiLORS",15,59.8282260843869,0.745491840556568,2814068.38978593,11056888.6904838
"158","r",10,"ORC_ALL_MultiLORS",16,54.9573190108691,0.745793381299803,2791410.53533926,10980872.7625277
"159","r",10,"ORC_ALL_MultiLORS",17,63.1867473420171,0.744776456956052,2823311.50354825,11062112.334449
"160","r",10,"ORC_ALL_MultiLORS",18,57.2656003962633,0.744917661874155,2807491.89463922,11006218.2872659
"161","r",10,"ORC_ALL_MultiLORS",19,54.9099635811977,0.743540204215874,2827103.29423955,11023573.0539973
"162","r",10,"ORC_ALL_MultiLORS",2,61.1788858825147,0.745006100748879,2798461.33579342,10974620.7419553
"163","r",10,"ORC_ALL_MultiLORS",20,60.1555545731992,0.744035189169199,2810496.36947971,10980010.7302153
"164","r",10,"ORC_ALL_MultiLORS",21,62.4802559900028,0.743613725913274,2831923.27140289,11045533.8589809
"165","r",10,"ORC_ALL_MultiLORS",22,58.8905132801228,0.746725036559487,2775227.09893059,10957368.4711336
"166","r",10,"ORC_ALL_MultiLORS",23,62.658419558903,0.745826881485836,2830679.4001497,11136816.5787837
"167","r",10,"ORC_ALL_MultiLORS",24,56.3300715407553,0.744220977482435,2796426.83788127,10932979.6101212
"168","r",10,"ORC_ALL_MultiLORS",25,56.2642695686763,0.745151877527777,2771160.95789407,10873774.2739153
"169","r",10,"ORC_ALL_MultiLORS",26,57.0109995879353,0.744686538549792,2799664.70203003,10965597.6857923
"170","r",10,"ORC_ALL_MultiLORS",27,60.27679956572,0.744797838987789,2802693.24551467,10982247.3069911
"171","r",10,"ORC_ALL_MultiLORS",28,61.4338121627969,0.745611307916833,2826593.79927635,11111318.5736741
"172","r",10,"ORC_ALL_MultiLORS",29,58.5853700306003,0.74633827687875,2818035.738879,11109424.4106036
"173","r",10,"ORC_ALL_MultiLORS",3,57.4754877458537,0.743458668813711,2815434.24404476,10974583.4366172
"174","r",10,"ORC_ALL_MultiLORS",30,57.6026021616322,0.745630290893726,2792766.64539926,10979163.5773443
"175","r",10,"ORC_ALL_MultiLORS",31,55.0407629052559,0.744548622801332,2821340.0876791,11044528.781244
"176","r",10,"ORC_ALL_MultiLORS",32,54.7207109825962,0.745644454962047,2808371.78407406,11041126.6389141
"177","r",10,"ORC_ALL_MultiLORS",33,55.189283663142,0.74554004621383,2828209.32292849,11114555.6730908
"178","r",10,"ORC_ALL_MultiLORS",34,57.1130471351308,0.747159455660509,2803630.65726333,11088532.7532711
"179","r",10,"ORC_ALL_MultiLORS",35,58.4071486552784,0.744564438438987,2821527.75853988,11045947.327369
"180","r",10,"ORC_ALL_MultiLORS",36,57.9923574291511,0.746082264399893,2761625.63791371,10876064.3733172
"181","r",10,"ORC_ALL_MultiLORS",37,53.8354616246569,0.746394663555855,2781479.98808024,10967750.233808
"182","r",10,"ORC_ALL_MultiLORS",38,54.2800283632647,0.746142710054226,2789725.88609903,10989347.151287
"183","r",10,"ORC_ALL_MultiLORS",39,55.3779221961103,0.746821451420748,2787783.96270739,11011138.1013575
"184","r",10,"ORC_ALL_MultiLORS",4,55.1607507894564,0.746219512438139,2793765.07948071,11008588.983027
"185","r",10,"ORC_ALL_MultiLORS",40,52.7278087218161,0.744581495555247,2781956.2656882,10891756.9294199
"186","r",10,"ORC_ALL_MultiLORS",41,55.5290599329626,0.744508990064963,2787371.60568793,10909861.7849476
"187","r",10,"ORC_ALL_MultiLORS",42,55.5085415305293,0.746295240606304,2762461.3004385,10888488.28473
"188","r",10,"ORC_ALL_MultiLORS",43,56.5426296671527,0.744357844744314,2764249.92841994,10812965.9822935
"189","r",10,"ORC_ALL_MultiLORS",44,59.9120712363469,0.745966742905152,2799641.63518765,11020768.1750203
"190","r",10,"ORC_ALL_MultiLORS",45,58.8369543531258,0.746534556109639,2794622.45628201,11025654.6746106
"191","r",10,"ORC_ALL_MultiLORS",46,57.609524571064,0.744846048486934,2801122.27803451,10978165.3837764
"192","r",10,"ORC_ALL_MultiLORS",47,54.9243515925811,0.746776581496921,2785004.87196784,10998212.1260004
"193","r",10,"ORC_ALL_MultiLORS",48,55.3066196359511,0.745586087201943,2776254.38157645,10912352.8310345
"194","r",10,"ORC_ALL_MultiLORS",49,57.2676820360997,0.744376379126034,2796272.75329184,10939023.3333348
"195","r",10,"ORC_ALL_MultiLORS",5,60.0611784620687,0.743721796052318,2820004.4764715,11003684.4063695
"196","r",10,"ORC_ALL_MultiLORS",50,59.7872684457181,0.744074482450277,2810847.80565094,10983069.7327976
"197","r",10,"ORC_ALL_MultiLORS",6,59.5221524221081,0.744050154333645,2808075.80447917,10971195.5370337
"198","r",10,"ORC_ALL_MultiLORS",7,61.8712647974229,0.745327085340797,2782030.26470761,10923934.6022739
"199","r",10,"ORC_ALL_MultiLORS",8,60.353575889799,0.745004877574293,2799824.97819737,10979915.8178529
"200","r",10,"ORC_ALL_MultiLORS",9,64.2698745556016,0.744393167687408,2829871.02975065,11071186.9637737
"201","r",10,"ORC_L_ALL_glmnet",1,32.5386899818784,0.746996039364586,2773944.01013947,10964033.9351715
"202","r",10,"ORC_L_ALL_glmnet",10,33.773201403613,0.74664691592757,2762829.07065543,10905054.0307044
"203","r",10,"ORC_L_ALL_glmnet",11,32.6729546587017,0.746570000019468,2782604.71018499,10979776.3106133
"204","r",10,"ORC_L_ALL_glmnet",12,32.8555997700573,0.747619753347712,2792864.90823476,11066099.4482765
"205","r",10,"ORC_L_ALL_glmnet",13,33.6700624902862,0.748361886174607,2768925.10216325,11003599.8127237
"206","r",10,"ORC_L_ALL_glmnet",14,31.0277309746745,0.747793449652525,2781708.82686763,11029486.8354337
"207","r",10,"ORC_L_ALL_glmnet",15,33.2607055969306,0.747659112515571,2789886.26268995,11056021.4418763
"208","r",10,"ORC_L_ALL_glmnet",16,31.5930135340068,0.748023021297494,2766369.39977958,10978659.2966719
"209","r",10,"ORC_L_ALL_glmnet",17,33.6538325303741,0.747158136208202,2796321.12847979,11059565.4000653
"210","r",10,"ORC_L_ALL_glmnet",18,32.3310367448564,0.747314643007565,2780722.93569269,11004685.7039522
"211","r",10,"ORC_L_ALL_glmnet",19,32.352652603548,0.745802042626763,2802020.87901447,11022987.3912806
"212","r",10,"ORC_L_ALL_glmnet",2,33.1404693376723,0.747334466743993,2771482.60422388,10968977.7173357
"213","r",10,"ORC_L_ALL_glmnet",20,33.1705137036738,0.746255350109421,2785737.16254746,10978506.0049492
"214","r",10,"ORC_L_ALL_glmnet",21,32.1078472950864,0.746156972200424,2803624.30413053,11044716.6047206
"215","r",10,"ORC_L_ALL_glmnet",22,31.3804894512719,0.748873081874055,2751760.91684386,10957650.1690026
"216","r",10,"ORC_L_ALL_glmnet",23,33.8613755084624,0.747940318185313,2807033.93387278,11136386.0878651
"217","r",10,"ORC_L_ALL_glmnet",24,33.0028058312922,0.746436284709226,2771247.90618743,10929197.4327222
"218","r",10,"ORC_L_ALL_glmnet",25,31.1026286924365,0.747463711597063,2745305.35204433,10870934.1117108
"219","r",10,"ORC_L_ALL_glmnet",26,32.7347406482605,0.746910655309135,2775120.69165893,10964984.3024746
"220","r",10,"ORC_L_ALL_glmnet",27,32.8032710955559,0.7470748108527,2776645.36171367,10978129.0312551
"221","r",10,"ORC_L_ALL_glmnet",28,35.2612886027757,0.747784529453331,2801925.0113563,11109251.1703712
"222","r",10,"ORC_L_ALL_glmnet",29,33.1692032525963,0.748420224780533,2794764.02651963,11108858.1110369
