"","experiment","value","method","name","mean","two_se","group"
"50","r","4","ORC_ALL_MultiLORS","test_R2",0.742544782246376,0.000322727571784285,"rORC_ALL_MultiLORStest_R2"
"51","r","4","ORC_ALL_MultiLORS","test_SSE",1286280.26967911,2778.42178723132,"rORC_ALL_MultiLORStest_SSE"
"52","r","4","ORC_ALL_MultiLORS","test_SST",4996162.46076022,10105.6023744047,"rORC_ALL_MultiLORStest_SST"
"53","r","4","ORC_L_ALL_glmnet","Beta_SSE",31.3845944801987,0.294671107636195,"rORC_L_ALL_glmnetBeta_SSE"
"54","r","4","ORC_L_ALL_glmnet","test_R2",0.744124488381343,0.000315793719134666,"rORC_L_ALL_glmnettest_R2"
"55","r","4","ORC_L_ALL_glmnet","test_SSE",1278169.20172282,2752.62043044423,"rORC_L_ALL_glmnettest_SSE"
"56","r","4","ORC_L_ALL_glmnet","test_SST",4995307.93132275,10128.1370570933,"rORC_L_ALL_glmnettest_SST"
"57","r","4","ORC_L_glmnet","Beta_SSE",108.635801381862,1.3409524316739,"rORC_L_glmnetBeta_SSE"
"58","r","4","ORC_L_glmnet","test_R2",0.728420587271375,0.000422153256759875,"rORC_L_glmnettest_R2"
"59","r","4","ORC_L_glmnet","test_SSE",1358093.68700244,3110.02760742717,"rORC_L_glmnettest_SSE"
"60","r","4","ORC_L_glmnet","test_SST",5000763.82873015,10172.467754275,"rORC_L_glmnettest_SST"
"61","r","5","glmnet","Beta_SSE",391.908319813758,5.09898301676842,"rglmnetBeta_SSE"
"62","r","5","glmnet","test_R2",0.672243122688667,0.00098174326691993,"rglmnettest_R2"
"63","r","5","glmnet","test_SSE",1969488.02742087,7271.76217704345,"rglmnettest_SSE"
"64","r","5","glmnet","test_SST",6008957.53866364,11696.1553187715,"rglmnettest_SST"
"65","r","5","MultiLORS","Beta_SSE",198.821900262413,2.61031702819033,"rMultiLORSBeta_SSE"
"66","r","5","MultiLORS","test_R2",0.713692467077299,0.000495970322095308,"rMultiLORStest_R2"
"67","r","5","MultiLORS","test_SSE",1720402.14515084,4231.39450183541,"rMultiLORStest_SSE"
"68","r","5","MultiLORS","test_SST",6008957.53866364,11696.1553187715,"rMultiLORStest_SST"
"69","r","5","ORC_ALL_MultiLORS","Beta_SSE",42.136302062179,0.485836308786941,"rORC_ALL_MultiLORSBeta_SSE"
"70","r","5","ORC_ALL_MultiLORS","test_R2",0.743299204079695,0.000316262507391871,"rORC_ALL_MultiLORStest_R2"
"71","r","5","ORC_ALL_MultiLORS","test_SSE",1540323.46676976,3245.50438940647,"rORC_ALL_MultiLORStest_SSE"
"72","r","5","ORC_ALL_MultiLORS","test_SST",6000487.78313743,11418.7264797017,"rORC_ALL_MultiLORStest_SST"
"73","r","5","ORC_L_ALL_glmnet","Beta_SSE",31.7702630597866,0.298596870904015,"rORC_L_ALL_glmnetBeta_SSE"
"74","r","5","ORC_L_ALL_glmnet","test_R2",0.74500519767174,0.000307039593110296,"rORC_L_ALL_glmnettest_R2"
"75","r","5","ORC_L_ALL_glmnet","test_SSE",1529837.37282678,3207.98026593065,"rORC_L_ALL_glmnettest_SSE"
"76","r","5","ORC_L_ALL_glmnet","test_SST",5999509.94100103,11455.5473041869,"rORC_L_ALL_glmnettest_SST"
"77","r","5","ORC_L_glmnet","Beta_SSE",112.755165731139,1.43010318807464,"rORC_L_glmnetBeta_SSE"
"78","r","5","ORC_L_glmnet","test_R2",0.731527889369035,0.000397038027175992,"rORC_L_glmnettest_R2"
"79","r","5","ORC_L_glmnet","test_SSE",1612431.76519062,3382.0257188955,"rORC_L_glmnettest_SSE"
"80","r","5","ORC_L_glmnet","test_SST",6006011.99557859,11598.3268045896,"rORC_L_glmnettest_SST"
"81","r","6","glmnet","Beta_SSE",457.734144252168,6.026874823591,"rglmnetBeta_SSE"
"82","r","6","glmnet","test_R2",0.67218611186977,0.0010055801948284,"rglmnettest_R2"
"83","r","6","glmnet","test_SSE",2297648.16656503,8161.0501419297,"rglmnettest_SSE"
"84","r","6","glmnet","test_SST",7009023.94939599,13531.867657281,"rglmnettest_SST"
"85","r","6","MultiLORS","Beta_SSE",229.617819645486,3.14833855387404,"rMultiLORSBeta_SSE"
"86","r","6","MultiLORS","test_R2",0.713876820588938,0.000501242432390349,"rMultiLORStest_R2"
"87","r","6","MultiLORS","test_SSE",2005423.22635818,4518.64774421665,"rMultiLORStest_SSE"
"88","r","6","MultiLORS","test_SST",7009023.94939599,13531.867657281,"rMultiLORStest_SST"
"89","r","6","ORC_ALL_MultiLORS","Beta_SSE",45.0055746659717,0.543385855511863,"rORC_ALL_MultiLORSBeta_SSE"
"90","r","6","ORC_ALL_MultiLORS","test_R2",0.743929800458724,0.00028417560688224,"rORC_ALL_MultiLORStest_R2"
"91","r","6","ORC_ALL_MultiLORS","test_SSE",1792262.92531547,3428.98266182972,"rORC_ALL_MultiLORStest_SSE"
"92","r","6","ORC_ALL_MultiLORS","test_SST",6999156.55239502,13232.4680666844,"rORC_ALL_MultiLORStest_SST"
"93","r","6","ORC_L_ALL_glmnet","Beta_SSE",32.0745653194865,0.304214836587844,"rORC_L_ALL_glmnetBeta_SSE"
"94","r","6","ORC_L_ALL_glmnet","test_R2",0.745731565568908,0.000279781737819302,"rORC_L_ALL_glmnettest_R2"
"95","r","6","ORC_L_ALL_glmnet","test_SSE",1779358.76683688,3406.24444140708,"rORC_L_ALL_glmnettest_SSE"
"96","r","6","ORC_L_ALL_glmnet","test_SST",6998002.21288807,13257.5530618387,"rORC_L_ALL_glmnettest_SST"
"97","r","6","ORC_L_glmnet","Beta_SSE",116.143089281526,1.52154010245438,"rORC_L_glmnetBeta_SSE"
"98","r","6","ORC_L_glmnet","test_R2",0.733908762493678,0.000362801771426349,"rORC_L_glmnettest_R2"
"99","r","6","ORC_L_glmnet","test_SSE",1864104.96413525,3538.48460752234,"rORC_L_glmnettest_SSE"
"100","r","6","ORC_L_glmnet","test_SST",7005592.65416966,13401.1237789772,"rORC_L_glmnettest_SST"
"101","r","7","glmnet","Beta_SSE",523.949741851334,6.58003002341371,"rglmnetBeta_SSE"
"102","r","7","glmnet","test_R2",0.672084784122759,0.000989812701604431,"rglmnettest_R2"
"103","r","7","glmnet","test_SSE",2625531.06585687,8512.86999808566,"rglmnettest_SSE"
"104","r","7","glmnet","test_SST",8006846.654815,15272.4686710716,"rglmnettest_SST"
"105","r","7","MultiLORS","Beta_SSE",262.687436235345,3.73415608444299,"rMultiLORSBeta_SSE"
"106","r","7","MultiLORS","test_R2",0.713531735873343,0.000528975511204071,"rMultiLORStest_R2"
"107","r","7","MultiLORS","test_SSE",2293677.34105839,5076.55141380107,"rMultiLORStest_SSE"
"108","r","7","MultiLORS","test_SST",8006846.654815,15272.4686710716,"rMultiLORStest_SST"
"109","r","7","ORC_ALL_MultiLORS","Beta_SSE",47.924389966109,0.567962628228215,"rORC_ALL_MultiLORSBeta_SSE"
"110","r","7","ORC_ALL_MultiLORS","test_R2",0.744285288306317,0.000278204622507404,"rORC_ALL_MultiLORStest_R2"
"111","r","7","ORC_ALL_MultiLORS","test_SSE",2044586.08124321,4115.50409719935,"rORC_ALL_MultiLORStest_SSE"
"112","r","7","ORC_ALL_MultiLORS","test_SST",7995606.7999239,15030.3773992072,"rORC_ALL_MultiLORStest_SST"
"113","r","7","ORC_L_ALL_glmnet","Beta_SSE",32.3160724081611,0.30867824789867,"rORC_L_ALL_glmnetBeta_SSE"
"114","r","7","ORC_L_ALL_glmnet","test_R2",0.746200732509564,0.000275092991818817,"rORC_L_ALL_glmnettest_R2"
"115","r","7","ORC_L_ALL_glmnet","test_SSE",2028942.81226179,4092.36069899242,"rORC_L_ALL_glmnettest_SSE"
"116","r","7","ORC_L_ALL_glmnet","test_SST",7994313.35644221,15066.2229088281,"rORC_L_ALL_glmnettest_SST"
"117","r","7","ORC_L_glmnet","Beta_SSE",119.139553952321,1.59528983300569,"rORC_L_glmnetBeta_SSE"
"118","r","7","ORC_L_glmnet","test_R2",0.735650223068985,0.000345793255623308,"rORC_L_glmnettest_R2"
"119","r","7","ORC_L_glmnet","test_SSE",2115545.455699,4099.58971080865,"rORC_L_glmnettest_SSE"
"120","r","7","ORC_L_glmnet","test_SST",8002901.75465397,15134.2344744576,"rORC_L_glmnettest_SST"
"121","r","8","glmnet","Beta_SSE",589.822573222847,6.77512119224816,"rglmnetBeta_SSE"
"122","r","8","glmnet","test_R2",0.672014362704878,0.000947923414887307,"rglmnettest_R2"
"123","r","8","glmnet","test_SSE",2954253.40413791,9074.54721479053,"rglmnettest_SSE"
"124","r","8","glmnet","test_SST",9007428.35948349,18169.5826569676,"rglmnettest_SST"
"125","r","8","MultiLORS","Beta_SSE",300.09308359399,4.4714733650277,"rMultiLORSBeta_SSE"
"126","r","8","MultiLORS","test_R2",0.712880194388139,0.000529753448262309,"rMultiLORStest_R2"
"127","r","8","MultiLORS","test_SSE",2586177.22905196,5971.59300466057,"rMultiLORStest_SSE"
"128","r","8","MultiLORS","test_SST",9007428.35948349,18169.5826569676,"rMultiLORStest_SST"
"129","r","8","ORC_ALL_MultiLORS","Beta_SSE",50.7314867714526,0.622033710878053,"rORC_ALL_MultiLORSBeta_SSE"
"130","r","8","ORC_ALL_MultiLORS","test_R2",0.744658589242885,0.000259252810194673,"rORC_ALL_MultiLORStest_R2"
"131","r","8","ORC_ALL_MultiLORS","test_SSE",2296694.72469248,4776.38146925891,"rORC_ALL_MultiLORStest_SSE"
"132","r","8","ORC_ALL_MultiLORS","test_SST",8994640.92830081,17955.1882040203,"rORC_ALL_MultiLORStest_SST"
"133","r","8","ORC_L_ALL_glmnet","Beta_SSE",32.5226614934186,0.308554648208625,"rORC_L_ALL_glmnetBeta_SSE"
"134","r","8","ORC_L_ALL_glmnet","test_R2",0.746654397935399,0.000250489366266078,"rORC_L_ALL_glmnettest_R2"
"135","r","8","ORC_L_ALL_glmnet","test_SSE",2278361.44745307,4730.3099683251,"rORC_L_ALL_glmnettest_SSE"
"136","r","8","ORC_L_ALL_glmnet","test_SST",8993132.85161412,17990.8928482451,"rORC_L_ALL_glmnettest_SST"
"137","r","8","ORC_L_glmnet","Beta_SSE",121.71436990494,1.66419592134651,"rORC_L_glmnetBeta_SSE"
"138","r","8","ORC_L_glmnet","test_R2",0.737126063531205,0.000319894249780351,"rORC_L_glmnettest_R2"
"139","r","8","ORC_L_glmnet","test_SSE",2366587.6942218,4643.86994482976,"rORC_L_glmnettest_SSE"
"140","r","8","ORC_L_glmnet","test_SST",9002837.69035671,18021.8373904178,"rORC_L_glmnettest_SST"
"141","r","9","glmnet","Beta_SSE",656.909310947155,7.99666308312346,"rglmnetBeta_SSE"
"142","r","9","glmnet","test_R2",0.671791914919067,0.000931182310573482,"rglmnettest_R2"
"143","r","9","glmnet","test_SSE",3283795.46023973,9921.18138197088,"rglmnettest_SSE"
"144","r","9","glmnet","test_SST",10005367.8009215,18559.2096867277,"rglmnettest_SST"
"145","r","9","MultiLORS","Beta_SSE",341.665025020378,4.94026188380251,"rMultiLORSBeta_SSE"
"146","r","9","MultiLORS","test_R2",0.711833984597284,0.000536113222073475,"rMultiLORStest_R2"
